procedure,base_cost_min,base_cost_max,stay_days_min,stay_days_max,medicine_cost_min,medicine_cost_max,category
Coronary Angiography,15000,35000,1,2,3000,8000,Cardiology
Stress Test + Angiography,20000,45000,1,3,5000,12000,Cardiology
ECG + Stress Test,3000,8000,0,1,1000,3000,Cardiology
Emergency Angioplasty (PTCA),150000,350000,3,7,20000,50000,Cardiology
Holter Monitor + ECG,2000,5000,0,0,500,2000,Cardiology
Echocardiography + BNP Test,4000,10000,0,1,2000,5000,Cardiology
Pulmonary Function Test + Echo,5000,12000,0,1,2000,6000,Pulmonology
Bronchoscopy + CT Chest,15000,35000,1,2,5000,12000,Pulmonology
Spirometry + Chest X-Ray,2000,5000,0,0,1000,3000,Pulmonology
Spirometry + Bronchodilator Test,2500,6000,0,0,1500,4000,Pulmonology
Blood Smear + Widal Test,500,1500,0,2,1000,4000,General Medicine
NS1 Antigen + CBC,1500,4000,1,4,2000,6000,General Medicine
MRI Brain + BP Monitoring,8000,20000,0,1,2000,5000,Neurology
CT Brain + Lumbar Puncture,12000,30000,2,5,5000,15000,Neurology
MRI Brain + Audiometry,10000,25000,0,1,2000,6000,Neurology
MRI Brain + Carotid Doppler,15000,35000,3,7,8000,20000,Neurology
MRI Brain + Neuropsychological Test,12000,28000,0,1,3000,8000,Neurology
EEG + MRI Brain,8000,20000,0,1,3000,8000,Neurology
Ultrasound Abdomen + Endoscopy,5000,15000,0,1,2000,6000,Gastroenterology
CT Abdomen + Lipase Test,10000,25000,2,5,5000,15000,Gastroenterology
Endoscopy + H. Pylori Test,4000,10000,0,1,1500,5000,Gastroenterology
LFT + Hepatitis Panel + Ultrasound,3000,8000,1,3,3000,10000,Gastroenterology
Colonoscopy + Biopsy,8000,20000,0,1,2000,6000,Gastroenterology
Upper GI Endoscopy,5000,12000,0,1,2000,5000,Gastroenterology
FBS + HbA1c + Urine Culture,1000,3000,0,0,2000,6000,Endocrinology
FBS + HbA1c + OGTT,1500,4000,0,0,2000,5000,Endocrinology
FBS + TSH + CT Scan,5000,15000,0,1,3000,8000,Endocrinology
TSH + T3 + T4,800,2000,0,0,1000,3000,Endocrinology
X-Ray Joints + RA Factor,1500,4000,0,0,2000,6000,Orthopedics
MRI Knee + X-Ray,5000,12000,0,1,2000,5000,Orthopedics
MRI Spine + X-Ray,6000,15000,0,1,2000,6000,Orthopedics
MRI Cervical Spine,5000,12000,0,1,2000,5000,Orthopedics
X-Ray + Orthopedic Consultation,2000,6000,1,3,3000,8000,Orthopedics
Skin Biopsy + Allergy Test,2000,6000,0,0,1000,4000,Dermatology
TSH + Scalp Biopsy,2500,7000,0,0,1000,3000,Dermatology
Dermatology Consultation,500,2000,0,0,500,2000,Dermatology
Urine Culture + Sensitivity,500,1500,0,0,1000,3000,Urology
CT KUB + Ultrasound Kidney,5000,12000,0,1,2000,6000,Urology
Cystoscopy + CT KUB,10000,25000,1,2,3000,8000,Urology
IOP Measurement + Slit Lamp,2000,6000,0,0,1000,3000,Ophthalmology
Fundoscopy + OCT,3000,8000,0,0,1000,3000,Ophthalmology
Otoscopy + Audiometry,2000,5000,0,0,1000,3000,ENT
Audiometry + MRI Brain,8000,20000,0,0,1000,3000,ENT
Throat Swab + Culture,500,1500,0,0,500,2000,ENT
CT Paranasal Sinuses,3000,8000,0,0,1000,3000,ENT
Psychiatric Evaluation + CBT,3000,10000,0,0,2000,6000,Psychiatry
Psychiatric Evaluation,2000,8000,0,0,2000,6000,Psychiatry
Polysomnography + Psychiatric Eval,8000,20000,0,1,2000,5000,Psychiatry
Chest X-Ray + Sputum Culture,2000,6000,1,5,3000,8000,Pulmonology
CT Chest + Biopsy,15000,35000,1,3,5000,15000,Oncology
Mammography + Biopsy,8000,20000,0,1,3000,8000,Oncology
PSA Test + Biopsy,5000,15000,0,1,3000,8000,Urology
Pelvic Ultrasound + Hormonal Panel,3000,8000,0,0,2000,6000,Gynecology
Pelvic Ultrasound + Laparoscopy,20000,50000,1,3,5000,15000,Gynecology
